,POPULARITY,BUCKET,TOTAL_SELL,LIKE_,REVIEW,PRICE,FIRST_PAGE
30224,1.0,2.0,3.0,3.0,7.0,5.0,0
30226,0.0,1.0,2.0,1.0,3.0,3.0,0
30227,2.0,3.0,4.0,3.0,4.0,6.0,0
30229,1.0,3.0,3.0,3.0,4.0,3.0,0
30230,0.0,1.0,1.0,1.0,7.0,6.0,0
30278,1.0,3.0,1.0,3.0,0.0,3.0,0
30280,0.0,1.0,2.0,0.0,4.0,3.0,0
30288,2.0,5.0,3.0,5.0,3.0,2.0,0
30509,1.0,4.0,1.0,5.0,7.0,4.0,0
30512,1.0,1.0,1.0,1.0,7.0,2.0,0
30516,1.0,1.0,1.0,2.0,0.0,3.0,0
30527,0.0,1.0,1.0,1.0,3.0,4.0,0
30528,0.0,1.0,0.0,1.0,5.0,6.0,0
30823,0.0,2.0,3.0,2.0,0.0,4.0,0
30828,0.0,1.0,0.0,1.0,4.0,3.0,0
30836,2.0,4.0,5.0,4.0,3.0,4.0,0
31004,1.0,1.0,4.0,1.0,7.0,2.0,0
31008,2.0,2.0,0.0,2.0,7.0,4.0,0
31009,2.0,4.0,3.0,4.0,7.0,3.0,0
31014,0.0,1.0,0.0,1.0,0.0,4.0,0
31026,2.0,1.0,0.0,1.0,6.0,3.0,0
31035,2.0,1.0,1.0,1.0,4.0,1.0,0
31201,0.0,1.0,1.0,1.0,0.0,4.0,0
31774,0.0,1.0,1.0,0.0,7.0,5.0,0
31930,1.0,1.0,4.0,1.0,6.0,4.0,0
31933,2.0,1.0,3.0,2.0,7.0,5.0,0
31958,4.0,3.0,3.0,3.0,3.0,5.0,0
31960,1.0,1.0,3.0,1.0,5.0,3.0,0
31966,2.0,1.0,2.0,1.0,0.0,3.0,0
31990,1.0,2.0,2.0,2.0,0.0,5.0,0
32100,2.0,1.0,2.0,1.0,4.0,3.0,0
32116,1.0,1.0,1.0,2.0,0.0,4.0,0
32199,1.0,3.0,2.0,3.0,0.0,3.0,0
32240,0.0,1.0,1.0,1.0,0.0,3.0,0
32292,2.0,4.0,5.0,5.0,3.0,4.0,0
32293,2.0,3.0,3.0,4.0,4.0,5.0,0
32298,3.0,5.0,3.0,5.0,0.0,3.0,0
32303,2.0,6.0,5.0,6.0,3.0,5.0,0
32315,1.0,1.0,2.0,0.0,0.0,3.0,0
32317,5.0,4.0,2.0,4.0,4.0,3.0,0
32319,3.0,4.0,5.0,5.0,6.0,3.0,0
32320,2.0,4.0,4.0,4.0,6.0,3.0,0
32351,1.0,1.0,1.0,1.0,0.0,4.0,0
32367,0.0,1.0,0.0,0.0,0.0,3.0,0
32435,1.0,1.0,2.0,1.0,0.0,2.0,0
32438,1.0,2.0,2.0,3.0,4.0,5.0,0
32444,3.0,5.0,5.0,5.0,3.0,3.0,0
32448,3.0,2.0,3.0,2.0,8.0,1.0,0
32449,2.0,1.0,2.0,0.0,4.0,6.0,0
32453,1.0,1.0,3.0,0.0,0.0,5.0,0
32565,1.0,1.0,3.0,1.0,3.0,5.0,0
32568,4.0,2.0,2.0,1.0,0.0,5.0,0
32582,1.0,1.0,0.0,0.0,4.0,3.0,0
32591,1.0,1.0,2.0,2.0,4.0,5.0,0
32663,1.0,1.0,1.0,0.0,0.0,3.0,0
32676,1.0,1.0,3.0,1.0,0.0,4.0,0
32682,3.0,4.0,5.0,4.0,6.0,6.0,0
32692,2.0,2.0,2.0,2.0,0.0,7.0,0
32702,2.0,1.0,1.0,0.0,0.0,6.0,0
32773,5.0,5.0,5.0,5.0,4.0,4.0,0
32784,3.0,3.0,5.0,3.0,6.0,2.0,0
32801,1.0,1.0,3.0,1.0,4.0,2.0,0
32812,1.0,1.0,2.0,0.0,7.0,4.0,0
33002,0.0,5.0,4.0,5.0,0.0,4.0,0
33016,2.0,1.0,1.0,0.0,0.0,3.0,0
33039,3.0,1.0,1.0,1.0,0.0,4.0,0
33042,2.0,1.0,0.0,1.0,0.0,2.0,0
33052,2.0,2.0,2.0,2.0,0.0,4.0,0
33053,2.0,3.0,3.0,4.0,4.0,3.0,0
33058,2.0,3.0,2.0,3.0,0.0,3.0,0
33059,0.0,1.0,1.0,0.0,0.0,3.0,0
33482,1.0,1.0,2.0,1.0,3.0,4.0,0
33644,1.0,1.0,0.0,1.0,3.0,3.0,0
33655,0.0,1.0,3.0,1.0,3.0,2.0,0
33737,2.0,2.0,3.0,2.0,5.0,3.0,0
33745,2.0,3.0,0.0,3.0,4.0,6.0,0
33754,5.0,5.0,5.0,5.0,6.0,4.0,0
33756,4.0,3.0,3.0,2.0,0.0,7.0,0
33921,2.0,1.0,1.0,2.0,0.0,3.0,0
33925,0.0,1.0,1.0,0.0,0.0,5.0,0
33933,2.0,2.0,3.0,2.0,3.0,3.0,0
33935,1.0,1.0,1.0,1.0,0.0,4.0,0
33940,1.0,2.0,1.0,2.0,0.0,3.0,0
34049,0.0,1.0,1.0,1.0,0.0,4.0,0
34910,1.0,4.0,4.0,4.0,3.0,4.0,0
34947,0.0,2.0,2.0,3.0,0.0,2.0,0
